Number,Question,Answer
1,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male football player suddenly felt severe knee pain during a match, followed by significant swelling. Physical examination revealed a positive Anterior Drawer Test. The most likely diagnosis is:
A: Collateral ligament injury, B: Anterior cruciate ligament (ACL) injury, C: Posterior cruciate ligament (PCL) rupture, D: Patellar dislocation, E: Meniscus injury",B
2,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old male football player twisted his knee during a match, followed by a sensation of knee instability. Physical examination revealed a positive Lachman test. Which of the following is NOT a clinical manifestation of cruciate ligament injury:
A: Sensation of knee instability, B: Knee swelling, C: Knee popping/clicking, D: Knee stiffness, E: Knee pain",D
3,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 20-year-old male football player twisted his knee during a match, followed by a sensation of knee instability. Physical examination revealed a positive Anterior Drawer Test. Which of the following is NOT a differential diagnosis for cruciate ligament injury:
A: Meniscus injury, B: Collateral ligament injury, C: Patellar dislocation, D: Patellar tendinitis, E: Chondromalacia patellae",D
4,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 34-year-old female experienced sudden severe lateral knee pain while running. Physical examination revealed significant tenderness on the lateral aspect of the knee and a positive lateral (varus) stress test. The most likely diagnosis is:
A: Anterior cruciate ligament injury, B: Lateral collateral ligament (LCL) injury, C: Medial collateral ligament (MCL) injury, D: Chondromalacia patellae, E: Patellar dislocation",B
5,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male basketball player complains of knee pain. Physical examination reveals joint line tenderness and a positive McMurray test. The most likely diagnosis is:
A: Osteoarthritis, B: Chondromalacia patellae, C: Meniscus injury, D: Medial collateral ligament injury, E: Anterior cruciate ligament injury",C
6,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male basketball player complains of severe medial knee pain upon landing from a jump. MRI shows a medial meniscus tear. The treatment principles for meniscus injury do NOT include which of the following:
A: Early cold compress, B: Knee brace fixation, C: Immediate high-intensity rehabilitation training, D: Surgical or conservative treatment based on injury severity, E: Avoiding weight-bearing walking on the affected limb in the early stage",C
7,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 28-year-old female injured her right knee while cycling, causing pain and discomfort. Physical examination revealed medial knee tenderness and a positive medial McMurray test. Among the following, the most likely diagnosis is:
A: Anterior cruciate ligament injury, B: Lateral meniscus injury, C: Medial meniscus injury, D: Chondromalacia patellae, E: Patellar dislocation",C
8,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male complains of knee pain, especially aggravated after prolonged walking. Physical examination reveals mild knee swelling and no obvious tenderness. X-ray shows mild joint space narrowing. Which of the following is NOT a treatment principle for osteoarthritis:
A: Weight reduction, B: Avoiding high-intensity sports, C: Long-term use of non-steroidal anti-inflammatory drugs (NSAIDs), D: Physical therapy, E: Functional exercise",C
9,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 58-year-old female has had right knee pain upon walking for 1 year; she can walk 1km but has difficulty going up/down stairs and squatting. The right knee swells when pain is severe, and symptoms resolve immediately with rest. Examination: Atrophy of the vastus medialis of the right quadriceps, right knee range of motion 10～每90～, pain on hyperflexion/hyperextension (+), patellar border tenderness (+), medial joint space tenderness (+), patellar grind test (+). X-ray shows narrowing of the right medial knee joint space and hyperplasia of opposing articular surfaces. The most likely diagnosis is:
A: Chondromalacia patellae, B: Knee meniscus injury, C: Knee osteoarthritis, D: Rheumatoid arthritis, E: Knee synovitis",C
10,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 58-year-old female has had right knee pain upon walking for 1 year; she can walk 1km but has difficulty going up/down stairs and squatting. The right knee swells when pain is severe, and symptoms resolve immediately with rest. Examination: Atrophy of the vastus medialis of the right quadriceps, right knee range of motion 10～每90～, pain on hyperflexion/hyperextension (+), patellar border tenderness (+), medial joint space tenderness (+), patellar grind test (+). X-ray shows narrowing of the right medial knee joint space and hyperplasia of opposing articular surfaces. The best treatment choice for this patient is:
A: Supracondylar femoral osteotomy, B: High tibial osteotomy, C: Knee arthrodesis (fusion), D: Non-surgical treatment, E: Total knee arthroplasty",D
11,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old male complains of knee pain aggravated by activity. Physical examination reveals knee swelling, and X-ray shows joint space narrowing. The most likely diagnosis is:
A: Osteoarthritis, B: Cruciate ligament injury, C: Chondromalacia patellae, D: Meniscus injury, E: Patellar dislocation",A
12,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female complains of knee pain, especially aggravated when going up and down stairs. Physical examination reveals medial joint line tenderness, and X-ray shows joint space narrowing. The most likely diagnosis is:
A: Patellar dislocation, B: Osteoarthritis, C: Cruciate ligament injury, D: Chondromalacia patellae, E: Meniscus injury",B
13,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A patient, a 20-year-old young athlete, presents with infrapatellar pain and right knee weakness for 3 months. Pain occurs with knee flexion/extension, and stairs are difficult. Physical exam: Tenderness at the patellar border, patellar grind test (+). Mild quadriceps atrophy. Right knee plain film is unremarkable; radionuclide scan shows localized uptake in the patella. The clinical diagnosis is:
A: Meniscus injury, B: Cruciate ligament injury, C: Collateral ligament injury, D: Chondromalacia patellae, E: Patellar tendinitis",D
14,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 28-year-old female with left knee pain and discomfort for 3 months is considered for a diagnosis of ""Chondromalacia Patellae"". Which of the following treatment methods should NOT be taken as the first choice:
A: Physical therapy, B: Functional exercise, C: Pharmacotherapy, D: Intra-articular injection, E: Surgical treatment",E
15,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old female complains of knee pain when going up and down stairs. Physical examination reveals retropatellar tenderness and a positive patellar compression/grind test. The most likely diagnosis is:
A: Patellar fracture, B: Patellar dislocation, C: Chondromalacia patellae, D: Cruciate ligament injury, E: Meniscus injury",C
16,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female complains of anterior knee pain when going up and down stairs. Physical examination reveals patellar tenderness and a positive patellar compression/grind test. Which of the following is NOT a clinical manifestation of chondromalacia patellae:
A: Patellar tenderness, B: Positive patellar compression/grind test, C: Discomfort during knee movement, D: Aggravated pain during knee movement, E: Knee stiffness",E
17,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
An athlete suddenly heard a tearing sound in the left knee during a 100m sprint and fell. Physical examination showed an inability to actively extend the left knee. X-ray showed a mid-patellar fracture. The considered cause of the fracture is:
A: Direct violence, B: Indirect violence, C: Pathological fracture, D: Muscle traction, E: Cumulative strain",D
18,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female complains of knee pain and limited mobility. Physical examination reveals increased patellar mobility and a positive patellar apprehension test. The most likely diagnosis is:
A: Patellar fracture, B: Patellar dislocation, C: Chondromalacia patellae, D: Cruciate ligament injury, E: Meniscus injury",B
19,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 28-year-old female dance, young female patient with a background in dance training, has had recurrent knee dislocations over the past month. Physical examination reveals a positive J-sign. A positive J-sign most likely indicates which of the following diseases:
A: Cruciate ligament injury, B: Chondromalacia patellae, C: Meniscus injury, D: Patellar dislocation, E: Collateral ligament injury",D
20,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 16-year-old female volleyball player suffered a patellar dislocation after strenuous exercise. Her clinical manifestations do NOT include which of the following:
A: Sensation of knee dislocation, B: Increased patellar mobility, C: Knee stiffness, D: Possibility of spontaneous reduction, E: Positive apprehension test",C
21,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 67-year-old female has had bilateral knee pain and deformity for 5 years and can now only walk 100m with pain. Examination: Bow-legs (O-type legs), knee range of motion 30～每60～. Plain X-ray shows disappearance of bilateral medial joint spaces and a femorotibial angle of 190～. The preferred treatment is:
A: Bed rest and limb protection, B: Intra-articular injection of local anesthetic and corticosteroids, C: Arthroscopic knee debridement, D: Total knee arthroplasty, E: Knee fusion",D
22,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 60-year-old female with severe left knee arthritis developed redness and swelling of the knee skin due to applying analgesic patches. What is the next step in management for this patient:
A: Perform total knee arthroplasty, B: Intra-articular injection of sodium hyaluronate, C: Bed rest and ice compress on the knee, D: Strengthen functional exercises, E: Continue applying the drugs for external use",C
