Number,Question,Answer
1,"请回答以下单选题。要求只输出选项，不输出解释性文字：
能够帮助诊断膝陈旧性前交叉韧带完全断裂的检查是：
A：蹲走试验，B：膝关节X线检查，C：膝关节内翻试验，D：研磨试验，E：抽屉试验",E
2,"请回答以下单选题。要求只输出选项，不输出解释性文字：
Lachman试验阳性，提示膝关节：
A：关节腔积液，B：侧副韧带损伤，C：半月板损伤，D：交叉韧带损伤，E：以上都不是",D
3,"请回答以下单选题。要求只输出选项，不输出解释性文字：
膝关节处于半屈曲位，外力来自胫骨上段前方，可造成的损伤是：
A：膝关节内侧半月板损伤，B：膝关节外侧半月板损伤，C：膝关节前交叉韧带损伤，D：膝关节后交叉韧带损伤，E：膝关节内侧副韧带损伤",D
4,"请回答以下单选题。要求只输出选项，不输出解释性文字：
膝关节交叉韧带损伤常见的体征为：
A：抽屉试验阳性，B：回旋挤压试验阳性，C：侧向试验阳性，D：浮髌试验阳性，E：挺髌试验阳性",A
5,"请回答以下单选题。要求只输出选项，不输出解释性文字：
侧方应力试验主要是用于检查：
A：前交叉韧带损伤，B：后交叉韧带损伤，C：侧副韧带损伤，D：外侧半月板损伤，E：髌韧带损伤",C
6,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下述膝关节疾病与有关试验中，哪项是不恰当的：
A：内收试验时，关节外侧疼痛：外侧副韧带损伤，B：髌骨摩擦试验阳性：髌骨软骨软化症，C：前抽屉试验阳性：后十字韧带损伤，D：浮髌试验阳性：膝关节内有中等量积液，E：McMurray试验阳性：半月板损伤",C
7,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列膝关节疾病与相关检查的临床意义，错误的是：
A：膝关节积液：浮髌试验（+），B：后交叉韧带断裂：前抽屉试验（+），C：后交叉韧带断裂：后抽屉试验（+），D：半月板损伤：麦氏（McMurray）试验（+），E：胫骨软骨软化症：髌骨摩擦试验（+）",B
8,"请回答以下单选题。要求只输出选项，不输出解释性文字：
O'Donoghue三联征是指：
A：内侧副韧带、内侧半月板及后交叉韧带损伤，B：外侧副韧带、内侧半月板及后交叉韧带损伤，C：内侧副韧带、内侧半月板及前交叉韧带损伤，D：内侧副韧带、外侧半月板及前交叉韧带损伤，E：外侧副韧带、内侧半月板及前交叉韧带损伤",C
9,"请回答以下单选题。要求只输出选项，不输出解释性文字：
膝关节有扭伤及交锁史，最可能发生的损伤是：
A：外侧副韧带损伤，B：胫骨平台骨折，C：半月板损伤，D：髌骨骨折，E：前交叉韧带损伤",C
10,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列半月板损伤的特点中，不正确的是：
A：多见于运动员与体力劳动者，B：男性多于女性，C：慢性阶段总感到关节疼痛，活动时有弹响，D：有时在活动时出现关节交锁，E：所有患者均有外伤史",E
