Number,Question,Answer,
1,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The examination that helps diagnose a complete rupture of the chronic anterior cruciate ligament of the knee is:
A: Squatting test , B: Knee X-ray, C: Knee varus stress test, D: Apley grinding test, E: Drawer test",E,
2,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A positive Lachman test indicates that the knee joint has:
A: Joint effusion, B: Collateral ligament injury, C: Meniscus injury, D: Cruciate ligament injury, E: None of the above",D,
3,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
When the knee is in a semi-flexed position and an external force is applied to the anterior aspect of the upper tibia, the resulting injury is likely:
A: Medial meniscus injury, B: Lateral meniscus injury, C: Anterior cruciate ligament injury, D: Posterior cruciate ligament injury, E: Medial collateral ligament injury",D,
4,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Common signs of cruciate ligament injury of the knee are:
A: Positive Drawer test, B: Positive McMurray test, C: Positive Lateral stress test, D: Positive Floating patella test, E: Positive Patellar inhibition test",A,
5,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The lateral stress test is primarily used to examine:
A: Anterior cruciate ligament injury, B: Posterior cruciate ligament injury, C: Collateral ligament injury, D: Lateral meniscus injury, E: Patellar ligament injury",C,
6,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following associations between knee joint diseases and tests is inappropriate?
A: Pain on the lateral side during adduction test: Lateral collateral ligament injury, B: Positive Patellar grinding test: Chondromalacia patellae, C: Positive Anterior drawer test: Posterior cruciate ligament injury, D: Positive Floating patella test: Moderate effusion in the knee, E: Positive McMurray test: Meniscus injury",C,
7,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following clinical significances of knee joint diseases and related examinations is incorrect?
A: Knee effusion: Floating patella test (+), B: Posterior cruciate ligament rupture: Anterior drawer test (+), C: Posterior cruciate ligament rupture: Posterior drawer test (+), D: Meniscus injury: McMurray test (+), E: Tibial chondromalacia: Patellar grinding test (+)",B,
8,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
O'Donoghue's triad refers to:
A: Injury to medial collateral ligament, medial meniscus, and posterior cruciate ligament, B: Injury to lateral collateral ligament, medial meniscus, and posterior cruciate ligament, C: Injury to medial collateral ligament, medial meniscus, and anterior cruciate ligament, D: Injury to medial collateral ligament, lateral meniscus, and anterior cruciate ligament, E: Injury to lateral collateral ligament, medial meniscus, and anterior cruciate ligament",C,
9,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
With a history of knee sprain and locking, the most likely injury is:
A: Lateral collateral ligament injury, B: Tibial plateau fracture, C: Meniscus injury, D: Patellar fracture, E: Anterior cruciate ligament injury",C,
10,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Among the following characteristics of meniscus injury, which is incorrect?
A: Common in athletes and manual laborers, B: More common in males than females, C: Always feel joint pain in the chronic stage, with clicking sounds during movement, D: Joint locking occasionally occurs during movement, E: All patients have a history of trauma",E,
11,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The most accurate and ideal auxiliary examination method when suspecting meniscus injury is:
A: X-ray examination, B: Arthrography, C: CT scan, D: B-ultrasound, E: Arthroscopy",E,
12,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is the inappropriate essential factor causing knee meniscus injury?
A: Rotation of the knee, B: Anteroposterior movement of the knee, C: Adduction and abduction of the knee, D: Compression of the knee, E: Semi-flexion of the knee",B,
13,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The main pathological change of osteoarthritis is:
A: Intra-articular purulent infection, B: Specific inflammation of the joint, C: Articular cartilage degeneration and secondary hyperosteogeny, D: Joint osteoporosis, E: Chronic pain in bones and joints",C,
14,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the description of knee osteoarthritis, which is correct?
A: Less weight-bearing involved, B: Perform artificial joint surface replacement as early as possible, C: Joint deformity may appear in late stages, D: Soft tissue release can be performed for genu varum, E: The main lesion is degeneration of the joint synovium",C,
15,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The first-choice drug for mild to moderate osteoarthritis is:
A: Ibuprofen, B: Diclofenac, C: Aspirin, D: Indomethacin, E: Acetaminophen",E,
