Number,Question,Answer
1,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，足球运动员，在一次比赛中突然感到膝关节剧痛，随后肿胀明显，查体发现膝关节前抽屉试验阳性。最可能的诊断是：
A：侧副韧带损伤，B：前交叉韧带损伤，C：后交叉韧带断裂，D：髌骨脱位，E：半月板损伤",B
2,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，30岁，足球运动员，在一次比赛中扭伤膝关节，随后出现膝关节不稳定感。查体发现Lachman试验阳性。以下哪项不是交叉韧带损伤的临床表现：
A：膝关节不稳定感，B：膝关节肿胀，C：膝关节弹响，D：膝关节僵硬，E：膝关节疼痛",D
3,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，20岁，足球运动员，在一次比赛中扭伤膝关节，随后出现膝关节不稳定感。查体发现前抽屉试验阳性。以下哪项不是交叉韧带损伤的鉴别诊断：
A：半月板损伤，B：侧副韧带损伤，C：髌骨脱位，D：髌腱炎，E：髌骨软化",D
4,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，34岁，跑步时突然膝关节外侧剧痛，查体发现膝关节外侧压痛明显，侧方应力试验阳性。最可能的诊断是：
A：前交叉韧带损伤，B：外侧副韧带损伤，C：内侧副韧带损伤，D：髌骨软化，E：髌骨脱位",B
5,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，篮球运动员，主诉膝关节疼痛，查体发现关节线压痛，McMurray试验阳性。最可能的诊断是：
A：骨关节炎，B：髌骨软化，C：半月板损伤，D：内侧副韧带损伤，E：前交叉韧带损伤",C
6,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，25岁，篮球运动员，主诉在跳跃后落地时感到膝关节内侧剧痛。MRI显示内侧半月板撕裂。半月板损伤的诊疗原则不包括以下哪项：
A：早期冷敷，B： 膝关节支具固定，C：立即进行高强度康复训练，D：根据损伤程度选择手术或保守治疗，E：早期患肢尽量不负重行走",C
7,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，28岁，骑行时摔伤导致右膝关节疼痛不适，查体发现膝关节内侧压痛，内侧McMurray试验阳性。以下诊断中，该患者最可能考虑的诊断是：
A：前交叉韧带损伤，B：外侧半月板损伤，C：内侧半月板损伤，D：髌骨软化，E：髌骨脱位",C
8,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，主诉膝关节疼痛，尤其在长时间行走后加重。查体发现膝关节轻度肿胀，无明显压痛。X光片显示关节间隙轻度狭窄。以下哪项不是骨关节炎的诊疗原则：
A：减轻体重，B：避免高强度运动，C：长期使用非甾体抗炎药，D：物理治疗，E：功能锻炼",C
9,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，58岁，右膝关节行走痛1年，可行走1km，上下楼、蹲起困难，疼痛严重的右膝关节肿胀，休息症状立即缓解。检查：右股四头肌内侧头萎缩，右膝活动度10°～90°，过屈过伸痛（+），髌骨边缘压痛（+），内侧关节间隙压痛（+），髌骨研磨试验（+）。X线平片发现右膝内侧关节间隙变窄，相对关节面增生。该患者最可能的诊断是：
A：髌骨软骨软化症，B：膝关节半月板损伤，C：膝关节骨关节炎，D：类风湿性关节炎，E：膝关节滑膜炎",C
10,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，58岁，右膝关节行走痛1年，可行走1km，上下楼、蹲起困难，疼痛严重的右膝关节肿胀，休息症状立即缓解。检查：右股四头肌内侧头萎缩，右膝活动度10°～90°，过屈过伸痛（+），髌骨边缘压痛（+），内侧关节间隙压痛（+），髌骨研磨试验（+）。X线平片发现右膝内侧关节间隙变窄，相对关节面增生。该患者治疗的最佳选择是：
A：股骨髁上截骨矫形术，B：胫骨高位截骨术，C：膝关节融合术，D：非手术治疗，E：人工膝关节表面置换术",D
11,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，50岁，主诉膝关节疼痛，活动后加重，查体发现膝关节肿胀，X光片显示关节间隙狭窄。最可能的诊断是：
A：骨关节炎，B：交叉韧带损伤，C：髌骨软化，D：半月板损伤，E：髌骨脱位",A
12,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，40岁，主诉膝关节疼痛，尤其在上下楼梯时加重。查体发现膝关节内侧关节线压痛，X光片显示关节间隙狭窄。最可能的诊断是：
A：髌骨脱位，B：骨关节炎，C：交叉韧带损伤，D：髌骨软化，E：半月板损伤",B
13,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者，青年运动员，20岁，髌下痛，右膝无力3个月，屈伸膝痛，上下楼梯困难。体检：髌骨边缘压痛，髌骨研磨试验（+）。股四头肌轻度萎缩。右膝平片未见异常，核素扫描见髌骨局限性放射线浓聚。临床诊断为：
A：半月板损伤，B：交叉韧带损伤，C：侧副韧带损伤，D：髌骨软化，E：髌腱炎",D
14,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，28岁，左膝关节疼痛不适3月，考虑诊断“髌骨软化”，该患者不应该采取以下哪项治疗方法作为首选：
A：物理治疗，B：功能锻炼，C：药物治疗，D：关节腔注射药物，E：手术治疗",E
15,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，35岁，主诉上下楼时膝关节疼痛，查体发现髌骨后方压痛，髌骨压磨试验阳性。最可能的诊断是：
A：髌骨骨折，B：髌骨脱位，C：髌骨软化，D：交叉韧带损伤，E：半月板损伤",C
16,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，40岁，主诉上下楼时膝关节前部疼痛，查体发现髌骨压痛，髌骨压磨试验阳性。以下哪项不是髌骨软化的临床表现：
A：髌骨压痛，B：髌骨压磨试验阳性，C：膝关节活动不适，D：膝关节活动时疼痛加重，E：膝关节僵硬",E
17,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
运动员百米赛跑途中突然闻及左膝撕裂声，然后倒地，查体左膝不能主动伸，X线片显示髌骨中段骨折，考虑造成骨折的原因是：
A：直接暴力，B：间接暴力，C：病理性骨折，D：肌肉拉力，E：积累性劳损",D
18,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，主诉膝关节疼痛，活动受限，查体发现髌骨活动度增大，髌骨恐惧试验阳性。最可能的诊断是：
A：髌骨骨折，B：髌骨脱位，C：髌骨软化，D：交叉韧带损伤，E：半月板损伤",B
