Number,question,image_path,MiniCPM-V-2.6,Llama-3.2-Vision,GLM-4v-9B,Qwen2-VL,GPT_4o,Gemini-3.1-Pro,Qwen3.5-35b-a3b,GPT-5.2
1,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/1.png,1,1,1,0,1,1,1,1
2,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/2.png,1,1,1,1,1,1,1,1
3,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/3.png,1,1,1,1,1,1,1,1
4,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/4.png,1,1,1,1,1,1,1,1
5,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/5.png,1,1,1,1,1,1,1,1
6,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/6.png,1,1,1,1,1,1,1,1
7,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/7.png,1,1,1,1,1,1,1,1
8,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/8.png,1,1,1,1,1,1,1,1
9,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/9.png,1,1,1,1,1,1,1,1
10,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/10.png,1,1,1,1,1,1,1,1
11,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/11.png,1,1,1,1,1,1,1,1
12,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/12.png,1,1,1,1,1,1,1,1
13,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/13.png,1,1,1,1,1,1,1,1
14,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/14.png,1,1,1,1,1,1,1,1
15,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/15.png,1,1,1,1,1,1,1,1
16,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/16.png,1,1,1,0,1,1,1,1
17,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/17.png,1,1,1,1,1,1,1,1
18,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/18.png,1,1,1,1,1,1,1,1
19,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/19.png,1,1,1,1,1,1,1,1
20,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/20.png,1,1,1,1,1,1,1,1
21,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/21.png,1,0,1,1,1,1,1,1
22,"Answer questions based on the patient's imaging pictures:
Judge based on the visual evidence visible in the image, output which specific joint or anatomical area is the target, and clearly describe the specific structural damage, lesion, or abnormality visible in the image. If no significant abnormalities are observed, output No significant structural damage.",knee/22.png,1,1,1,1,1,1,1,1
